Employee_ID,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD,Required_Skills,Automation_Level,Job_Growth_2030,Work_Hours_Per_Week,Company_Size,AI_Tool_Usage,Performance_Score,Upskilling_Needed,Job_Satisfaction,Hiring_Trend_2026
AIJ-100000,Data Engineer,Healthcare,Japan,PhD,1,0.25,0.78,Yes,207392,"Python, Communication, Deep Learning",Low,3,37,Enterprise,High,2.08,Yes,3.86,Growing
AIJ-100001,Healthcare Analyst,Retail,UK,Bachelor,24,0.73,0.33,No,140785,"Deep Learning, Azure, Communication, TensorFlow, PyTorch, Python",Low,-5,42,Startup,Moderate,4.54,No,4.23,Growing
AIJ-100002,HR Specialist,Education,Canada,High School,21,0.8,0.69,Yes,124800,"Kubernetes, Cloud Computing, TensorFlow, SQL, Communication, Cybersecurity",Medium,-5,57,Startup,Low,3.14,No,3.54,Stable
AIJ-100003,Cybersecurity Analyst,Government,UK,Bachelor,5,0.29,0.94,No,199878,"Excel, Kubernetes, Prompt Engineering, Leadership",Medium,7,59,Enterprise,High,3.67,No,4.37,Declining
AIJ-100004,Healthcare Analyst,Education,UAE,PhD,20,0.11,0.92,No,178682,"SQL, Leadership, TensorFlow, Cybersecurity",Low,6,34,Startup,High,3.68,No,3.99,Stable
AIJ-100005,Machine Learning Engineer,Energy,Japan,High School,12,0.73,0.88,No,70066,"Excel, Deep Learning, Cybersecurity, Communication, Docker, SQL",High,19,46,Medium,High,4.58,Yes,3.72,Declining
AIJ-100006,UX Designer,Media,UK,High School,20,0.46,0.95,No,218659,"Leadership, Cloud Computing, Project Management, Prompt Engineering, Machine Learning",High,22,49,Startup,Low,3.12,Yes,3.16,Growing
AIJ-100007,Digital Marketer,Technology,Germany,High School,2,0.15,0.49,Hybrid,110612,"Leadership, AWS, Python",Medium,42,32,Enterprise,Low,2.39,No,4.79,Declining
AIJ-100008,Robotics Engineer,Energy,Pakistan,PhD,16,0.73,0.74,No,216895,"Docker, PyTorch, Prompt Engineering, Azure, Communication",Low,5,37,Startup,Moderate,2.06,Yes,3.35,Declining
AIJ-100009,Product Manager,Education,India,PhD,6,0.86,0.88,Hybrid,48574,"SQL, Deep Learning, Machine Learning",Low,36,59,Enterprise,High,3.42,No,4.23,Declining
AIJ-100010,Cloud Architect,Technology,Australia,Master,25,0.43,0.57,Yes,44200,"Cloud Computing, PyTorch, Excel",Low,2,36,Enterprise,Moderate,2.42,Yes,2.11,Declining
AIJ-100011,Cybersecurity Analyst,Education,UK,PhD,15,0.64,0.63,No,33868,"Azure, Cloud Computing, SQL",Low,45,42,Startup,Low,3.14,No,2.06,Stable
AIJ-100012,AI Engineer,Manufacturing,USA,High School,18,0.25,0.25,No,172133,"PyTorch, AWS, Cybersecurity, Cloud Computing, Docker",High,44,46,Startup,Low,4.88,Yes,4.41,Declining
AIJ-100013,Teacher,Technology,Japan,High School,13,0.9,0.65,Hybrid,181760,"Deep Learning, TensorFlow, Cloud Computing",High,26,46,Medium,Moderate,2.61,No,1.95,Stable
AIJ-100014,Teacher,Government,Canada,High School,17,0.73,0.26,Yes,150136,"Project Management, Azure, Leadership, Docker",High,6,34,Medium,Low,4.64,No,2.14,Stable
AIJ-100015,Cloud Architect,Healthcare,Singapore,Bachelor,8,0.14,0.89,No,99328,"Docker, Python, Project Management, Azure, Leadership",High,3,52,Medium,Low,4.06,No,3.02,Stable
AIJ-100016,UX Designer,Finance,UAE,PhD,17,0.09,0.46,Yes,64293,"Machine Learning, PyTorch, Communication",Low,-6,60,Enterprise,Low,3.64,No,3.33,Declining
AIJ-100017,Cloud Architect,Manufacturing,Singapore,PhD,19,0.86,0.37,Hybrid,95412,"Cybersecurity, SQL, Project Management, Data Visualization, TensorFlow, Python",Low,5,57,Startup,Low,4.64,Yes,1.72,Stable
AIJ-100018,Digital Marketer,Education,UAE,Master,9,0.39,0.23,Yes,153388,"Deep Learning, Communication, Data Visualization, TensorFlow, Excel, SQL",Low,-9,51,Startup,Moderate,2.98,Yes,4.87,Stable
AIJ-100019,UX Designer,Technology,Canada,PhD,11,0.84,0.41,Hybrid,182198,"Docker, TensorFlow, Leadership, Python, SQL",Medium,17,49,Enterprise,Low,3.16,Yes,2.02,Growing
AIJ-100020,Healthcare Analyst,Healthcare,India,Master,21,0.9,0.93,No,193356,"Python, Docker, Prompt Engineering, Data Visualization, AWS, SQL",Medium,15,52,Medium,High,2.38,No,3.66,Stable
AIJ-100021,Teacher,Manufacturing,UAE,PhD,14,0.31,0.54,Hybrid,182039,"Project Management, TensorFlow, Python, Cybersecurity",Low,22,45,Enterprise,Low,3.98,No,3.06,Growing
AIJ-100022,IoT Specialist,Government,Canada,PhD,13,0.23,0.22,Hybrid,94184,"Machine Learning, Deep Learning, Project Management, Cloud Computing, TensorFlow",High,2,52,Enterprise,Moderate,3.48,Yes,1.59,Growing
